policy,accuracy,avg_cost_per_query,avg_latency_s,cost_reduction_vs_strongest_pct,accuracy_gap_vs_strongest_pts
always-strongest (gpt-5),88.77,0.021178,0.813,0.0,0.0
always-cheapest (Llama-3.1-8B-Instruct),37.31,1.3e-05,0.315,99.9,-51.46
oracle (alpha=0),94.12,0.003638,1.734,82.8,5.35
oracle (alpha=0.001),94.12,0.003905,0.747,81.6,5.35
oracle (alpha=0.002),94.12,0.004085,0.611,80.7,5.35
oracle (alpha=0.005),94.12,0.004811,0.394,77.3,5.35
oracle (alpha=0.01),94.12,0.005481,0.302,74.1,5.35
